werd,definition,part_of_speech,pronunciation,origin,language,tags,source_1,source_2,created_by,created_at,is_curated,,,,,,,fact_check_notes
flumadiddle,Utter nonsense.,n.,fluhm-uh-DID-l,Origin uncertain; American English slang,English,humorous,https://www.merriam-webster.com/dictionary/flummadiddle,,,,n,,,,,,,
flummox,To confuse completely,v.,FLUM-uhks,Origin uncertain; English dialect,English,"humorous,slang",https://en.wiktionary.org/wiki/flummox,https://api.datamuse.com/words?sp=flummox&md=dp&max=1,,,n,,,,,,,
forlorn,Abandoned or lonely,adj.,for-LORN,Native English / Old English,English,"poetic,emotion",,,,,n,,,,,,,
forsooth,Indeed; in truth,adv.,for-SOOTH,Native English / Old English,English,"humorous,archaic",,,,,y,,,,,,,
friable,Easily broken into pieces or reduced to nothing,adj.,FRY-uh-buhl,Adopted from Latin,English,poetic,https://www.merriam-webster.com/dictionary/friable,,,,y,,,,,,,
froward,Stubbornly contrary; difficult,adj.,FROH-werd,Native English / Old English,English,"archaic,trait",,,,,n,,,,,,,
fulsome,Excessive; overdone,adj.,FUUL-sum,Native English / Old English,English,trait,,,,,n,,,,,,,
gadzooks,An exclamation of surprise,interj.,gad-ZOOKS,English minced oath,English,"humorous,archaic,slang",,,,,y,,,,,,,
galeophobia,Fear of sharks,n.,gay-lee-uh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/?s=galeophobia,,,,n,,,,,,,
gallimaufry,A jumbled mixture,n.,gal-uh-MAW-free,Adopted from French,English,"humorous,obscure",,,,,n,,,,,,,
gambol,Skip about playfully,v.,GAM-bul,Adopted from Old French,English,"humorous,poetic",,,,,n,,,,,,,
gamophobia,Fear of marriage,n.,gam-uh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/?s=gamophobia,,,,n,,,,,,,
gaucherie,Awkward or unsophisticated ways.,n.,goh-shuh-REE,,French,trait,https://www.merriam-webster.com/dictionary/gaucherie,,,,y,,,,,,,
gerascophobia,Fear of growing old or aging,n.,jer-as-kuh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/?s=gerascophobia,,,,y,,,,,,,
gobbledygook,Overly complex or meaningless language,n.,GOB-ul-dee-gook,Formed in American English,English,"humorous,slang",,,,,n,,,,,,,
gormless,Dull; lacking sense,shaped buttocks,GORM-lis,Adopted from Scots/Irish English,English,"slang,trait",,,,,n,,,,,,,
grandiose,Affectedly grand or important; pompous; more complicated or elaborate than necessary;,adj.,gran-dee-OHS,Adopted from Italian/French,English,trait,https://www.dictionary.com/browse/grandiose,,,,y,,,,,,,
habromania,A form of delusional happiness; a state of unreal or imagined elation.,n.,hab-roh-MAY-nee-uh,Formed from Greek roots,English,psychology,https://www.merriam-webster.com/dictionary/habromania,,,,y,,,,,,,
halcyon,"Calm, peaceful, and happy",n.,HAL-see-uhn,Adopted from Greek,English,"poetic,emotion",https://en.wiktionary.org/wiki/halcyon,https://api.datamuse.com/words?sp=halcyon&md=dp&max=1,,,n,,,,,,,
hapless,Unfortunate or unlucky,adj.,HAP-lis,Native English / Old English,English,"emotion,trait",https://en.wiktionary.org/wiki/hapless,https://api.datamuse.com/words?sp=hapless&md=dp&max=1,,,n,,,,,,,
heterophemize,To say something different from what you meant to say,v.,het-er-uh-FEEM-yze,Formed from Greek roots,English,obscure,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.goodreads.com/quotes/7673265-heterophemize-v-to-say-something-different-from-what-you-mean&ved=2ahUKEwi6lcDotruNAxUp4skDHT8zBFsQFnoECDAQAQ&usg=AOvVaw3tyNn6icvmWEXINl8uhVtN,,,,n,,,,,,,
hippopotomonstrosesquippedaliophobia,Fear of long words.,n.,hi-poh-puh-toh-mon-stroh-ses-kwip-ped-uh-lee-uh-FOH-bee-uh,Formed from Greek/Latin roots,English,"psychology,humorous,phobia",https://www.fearof.net/?s=hippopotomonstrosesquippedaliophobia,,,,y,,,,,,,
hogwash,Nonsense,n.,HOG-wosh,Native English / Old English,English,"humorous,slang",,,,,y,,,,,,,
hoodwink,To trick or mislead,v.,HOOD-wink,Native English / Old English,English,"humorous,slang",https://en.wiktionary.org/wiki/hoodwink,https://api.datamuse.com/words?sp=hoodwink&md=dp&max=1,,,y,,,,,,,
hornswoggle,To cheat or deceive,v.,HORN-swah-gul,Origin uncertain; American English slang,English,"humorous,slang",,,,,n,,,,,,,
horripilation,Goosebumps; hair standing up,n.,hor-rip-ih-LAY-shun,Adopted from Latin,English,"psychology,obscure",,,,,n,,,,,,,
hubris,Excessive pride or self-confidence.,n.,HYOO-bris,Adopted from Greek,English,psychology,https://www.merriam-webster.com/dictionary/hubris,,,,n,,,,,,,
hullabaloo,Loud commotion; uproar,n.,HUL-uh-buh-loo,Origin uncertain; English slang,English,"humorous,slang",,,,,n,,,,,,,
idiosyncratic,"Pertaining to the nature of idiosyncrasy, or something peculiar to an individual.",adj.,id-ee-oh-sin-KRAT-ik,Adopted from Greek,English,"obscure,trait",https://www.dictionary.com/browse/idiosyncratic,,,,y,,,,,,,
imbroglio,A complicated  messy situation,n.,im-BROHL-yoh,,Italian,obscure,,,,,n,,,,,,,
impetuous,Acting or done quickly without thought or care,adj.,im-PET-choo-uhs,Adopted from Latin,English,trait,https://www.dictionary.com/browse/impetuous,,,,n,,,,,,,
impugn,Challenge as false; attack,v.,im-PYOON,Adopted from Latin,English,academia,,,,,n,,,,,,,
indelible,"Impossible to eliminate, forget, or change",adj.,in-DEL-uh-buhl,Adopted from Latin,English,poetic,https://www.dictionary.com/browse/indelible,,,,n,,,,,,,
indolent,Wanting to avoid activity or exertion; lazy.,adj.,IN-duh-luhnt,Adopted from Latin,English,trait,https://www.merriam-webster.com/dictionary/indolent,,,,n,,,,,,,
ineffable,Utterly indescribable; too sacred to speak of,adj.,in-EF-uh-buhl,Adopted from Latin,English,poetic,https://www.dictionary.com/browse/ineffable,,,,y,,,,,,,
ineluctable,Unavoidable; inescapable,adj.,in-ih-LUK-tuh-bul,Adopted from Latin,English,"philosophical,existential",,,,,n,,,,,,,
insipid,"Dull, boring",adj.,in-SIP-id,Adopted from Latin,English,trait,https://www.dictionary.com/browse/insipid,,,,y,,,,,,,
insouciant,Showing a casual lack of concern; indifferent.,adj.,in-SOO-see-uhnt,,French,trait,https://www.dictionary.com/browse/insouciant,,,,n,,,,,,,
inure,"To become immune to something (someone), especially something unpleasant",v.,in-YOOR,Adopted from Latin,English,emotion,https://www.dictionary.com/browse/inure,,,,n,,,,,,,
inveterate,"Settled or confirmed in a habit, practice, feeling, or the like; firmly established by long continuance, as a disease, habit, practice, feeling, etc.; chronic.",adj.,in-VET-er-it,Adopted from Latin,English,trait,https://www.dictionary.com/browse/inveterate,,,,n,,,,,,,
ipseity,Individual identity; selfhood.,n.,ip-SEE-ih-tee,Adopted from Latin,English,"philosophical,obscure",https://www.dictionary.com/browse/ipseity,,,,n,,,,,,,
isolophilia,"Strong affection for solitude, being alone",n.,eye-soh-loh-FIL-ee-uh,Formed from Greek roots,English,psychology,https://en.wiktionary.org/wiki/isolophilia,,,,n,,,,,,,
jactitation,Restless tossing; boastful talk, Unlucky; ill,fated,Adopted from Latin,English,"psychology,obscure,trait",,,,,n,,,,,,,
jawbreaker,A word that is very long or hard to pronounce.,n.,JAW-bray-ker,Formed in English,English,humorous,https://www.dictionary.com/browse/jawbreaker,,,,n,,,,,,,
je m'en fous,I do not care.,phr.,zhuh mahn FOO,,French,slang,https://en.wiktionary.org/wiki/je_m%27en_fous,,,,y,,,,,,,
jocund,Cheerful; lighthearted,adj.,JAH-kund,Adopted from Latin,English,"emotion,trait",,,,,n,,,,,,,
jollification,Noisy celebration,n.,jol-ih-fih-KAY-shun,Formed in English,English,"humorous,emotion",,,,,n,,,,,,,
jouissance,Great pleasure; delight,n.,zhwee-SAHNSS,,French,"romantic,emotion",,,,,n,,,,,,,
jouska,A hypothetical conversation that you compulsively play out in your head. A made-up word from the Dictionary of Obscure Sorrows,n.,ZHOOS-kuh,Modern coined word,English,"existential,obscure",https://www.thedictionaryofobscuresorrows.com/word/jouska,,,,n,,,,,,,
juxtapose,"To place side by side, especially for contrast or comparison.",v.,JUK-stuh-pohz,Adopted from Latin,English,academia,https://en.wiktionary.org/wiki/juxtapose,https://api.datamuse.com/words?sp=juxtapose&md=dp&max=1,,,n,,,,,,,
kalopsia,The delusion that things are more beautiful than they really are.,n.,kuh-LOP-see-uh,Modern coinage from Greek roots,English,"psychology,obscure",https://www.merriam-webster.com/dictionary/kalopsia,,,,n,,,,,,,
kerfuffle,A fuss or disorderly situation,n.,ker-FUF-ul,Adopted from Scots/English,English,"humorous,slang",,,,,n,,,,,,,
kilig,The rush or the inexplicable joy one feels after seeing or experiencing something romantic. Filipino term.,n.,KEE-lig,,Tagalog,romantic,https://en.wiktionary.org/wiki/kilig,,,,n,,,,,,,
knavery,Dishonesty; roguish behavior,n.,NAY-vuh-ree,Native English / Old English,English,"archaic,trait",,,,,n,,,,,,,
labyrinth,An intricate combination of paths or passages in which it is difficult to find one's way or to reach the exit; a maze,n.,LAB-uh-rinth,Adopted from Greek,English,"philosophical,poetic",https://www.dictionary.com/browse/labyrinth,,,,y,,,,,,,
lachesism,"The desire to be struck by disaster-to survive a plane crash, or to lose everything in a fire. A made-up word from the Dictionary of Obscure Sorrows",n.,LAK-uh-siz-uhm,Modern coined word,English,"psychology,obscure",https://www.thedictionaryofobscuresorrows.com/concept/lachesism,,,,n,,,,,,,
lachrymose,Prone to tears,adj.,LAK-rih-mohs,Adopted from Latin,English,"emotion,trait",,,,,n,,,,,,,
lackadaisical,Lacking enthusiasm; listless,adj.,lak-uh-DAY-zih-kul,Formed in English from alack,English,trait,,,,,y,,,,,,,
laconic,Saying much in few words,adj.,luh-KON-ik,Adopted from Greek,English,trait,https://www.merriam-webster.com/dictionary/laconic,,,,n,,,,,,,
lagniappe,A small bonus gift,n.,LAN-yap,,French,obscure,,,,,n,,,,,,,
latitudinarian,"Tolerance of other views, particularly, but not necessarily, on religious matters",n.,lat-ih-too-din-AIR-ee-uhn,Adopted from Latin,English,"philosophical,obscure",,,,,n,,,,,,,
lethologica,The inability to remember a word or put your finger on the right term.,n.,leth-uh-LOJ-ih-kuh,Formed from Greek roots,English,"psychology,obscure",https://www.dictionary.com/e/tip-of-the-tongue/,,,,n,,,,,,,
liberosis,The desire to care less about things.,n.,lib-er-OH-sis,Modern coined word,English,"psychology,obscure",https://www.thedictionaryofobscuresorrows.com/word/liberosis,,,,n,,,,,,,
limerence,Intense romantic infatuation,n.,LIM-er-uhns,Modern coined word,English,"psychology,romantic,neologism,emotion",https://api.dictionaryapi.dev/api/v2/entries/en/limerence,https://api.datamuse.com/words?sp=limerence&md=dp&max=1,,,n,,,,,,,
litost,"A state of grief, torment, or agony triggered by the sudden awareness of one’s own misery.",n.,LEE-tost,,Czech,existential,https://www.merriam-webster.com/dictionary/litost,,,,n,,,,,,,
logophile,A fascination or obsession with words,n.,LOG-uh-file,Formed from Greek roots,English,"academia,psychology",https://en.wiktionary.org/wiki/logophile,,,,y,,,,,,,
lollygag,To waste time or dawdle,n.,LOL-ee-gag,Origin uncertain; American English,English,"humorous,slang",https://en.wiktionary.org/wiki/lollygag,https://api.datamuse.com/words?sp=lollygag&md=dp&max=1,,,n,,,,,,,
loquacious,Tending to talk a great deal; talkative.,adj.,loh-KWAY-shuhs,Adopted from Latin,English,trait,https://www.merriam-webster.com/dictionary/loquacious,,,,n,,,,,,,
lorn,"Forsaken, desolate, bereft, or forlorn.",adj.,LORN,Native English / Old English,English,poetic,https://www.dictionary.com/browse/lorn,,,,n,,,,,,,
ludic,Showing spontaneous and undirected playfulness.,adj.,LOO-dik,Adopted from Latin,English,"humorous,trait",https://www.merriam-webster.com/dictionary/ludic,,,,n,,,,,,,
lugubrious,Mournful; gloomy,important little man,loo-GOO-bree-us,Adopted from Latin,English,"poetic,emotion,trait",,,,,n,,,,,,,
lunkhead,Someone slow-witted,n.,LUNK-hed,Formed in English slang,English,"humorous,slang",,,,,n,,,,,,,
lypophrenia,A vague feeling of sadness without any apparent cause.,n.,ly-poh-FREE-nee-uh,Modern coinage from Greek roots,English,"psychology,neologism,obscure",https://www.dictionary.com/browse/lypophrenia,,,,n,,,,,,,
magnanimous,Generous and forgiving,adj.,mag-NAN-uh-muhs,Adopted from Latin,English,trait,,,,,n,,,,,,,
malarkey,Nonsense or foolish talk,n.,muh-LAR-kee,Origin uncertain; American English slang,English,"humorous,slang",https://en.wiktionary.org/wiki/malarkey,https://api.datamuse.com/words?sp=malarkey&md=dp&max=1,,,n,,,,,,,
malediction,A curse; the calling down of a curse.,n.,mal-uh-DIK-shun,Adopted from Latin,English,"archaic,poetic",,,,,n,,,,,,,
meaculpa,An acknowledgment of one's fault or error.,n.,MAY-uh KUHL-puh,,Latin,emotion,https://www.merriam-webster.com/dictionary/mea-culpa,,,,n,,,,,,,
melancholic,Deeply thoughtful or sad,adj.,mel-uhn-KOL-ik,Adopted from Greek,English,"emotion,trait",,,,,n,,,,,,,
mementovivere,Remember to live.,phr.,muh-MEN-toh VEE-veh-reh,,Latin,"philosophical,existential",https://www.merriam-webster.com/dictionary/memento%20vivere,,,,n,,,,,,,
mercurial,Changing moods rapidly,adj.,mer-KYUR-ee-ul,Adopted from Latin,English,"emotion,trait",,,,,n,,,,,,,
meretricious,"Based on pretense, deception, or insincerity",adj.,mer-ih-TRISH-uhs,Adopted from Latin,English,trait,https://www.merriam-webster.com/dictionary/meretricious,,,,n,,,,,,,
miasmic,Producing an unpleasant or unwholesome atmosphere.,adj.,my-AZ-mik,Adopted from Greek,English,poetic,https://www.merriam-webster.com/dictionary/miasmic,,,,n,,,,,,,
micawber,"A person who is habitually optimistic, expecting that “something will turn up.”",n.,MIK-aw-ber,Literary surname coined in English,English,obscure,https://www.merriam-webster.com/dictionary/Micawber,,,,n,,,,,,,
monachopsis,The subtle but persistent feeling of being out of place.,n.,mon-uh-KOP-sis,Modern coined word,English,"psychology,neologism,existential,obscure",https://www.thedictionaryofobscuresorrows.com/word/monachopsis,,,,n,,,,,,,
morose,Gloomy and sullen,adj.,muh-ROHS,Adopted from Latin,English,"emotion,trait",,,,,n,,,,,,,
mumpsimus,Stubborn adherence to an error,n.,MUMP-sih-muhs,Adopted from Latin,English,"obscure,trait",,,,,n,,,,,,,
myopic,Nearsighted; lacking imagination or foresight.,adj.,my-OP-ik,Adopted from Greek,English,trait,https://www.merriam-webster.com/dictionary/myopic,,,,n,,,,,,,
nefelibata,"A dreamer who lives in the clouds of their own imagination; an unconventional, unorthodox person.",n.,neh-feh-lee-BAH-tuh,,Portuguese,poetic,https://en.wiktionary.org/wiki/nefelibata,,,,n,,,,,,,
nescience,Lack of knowledge; ignorance,n.,NESH-ee-uhns,Adopted from Latin,English,"academia,philosophical",,,,,n,,,,,,,
nigh,Nearly; almost,adv.,nahy,Native English / Old English,English,"archaic,poetic",https://www.dictionary.com/browse/nigh,https://en.wiktionary.org/wiki/nigh,,,n,,,,,,,
nimiety,Excess; too much,n.,nih-MY-uh-tee,Adopted from Latin,English,obscure,,,,,n,,,,,,,
nincompoop,A foolish person,n.,NIN-kuhm-poop,Origin uncertain; English slang,English,"humorous,slang",,,,,y,,,,,,,
noceur,"A person who stays up late, especially one who enjoys nightlife.",n.,nuh-SUR,,French,obscure,https://en.wiktionary.org/wiki/noceur,,,,n,,,,,,,
nomophobia,Fear of being without mobile phone coverage. (NO MObile PHOne phoBIA),n.,noh-muh-FOH-bee-uh,Modern acronym/coinage,English,"psychology,humorous,phobia",https://pmc.ncbi.nlm.nih.gov/articles/PMC6510111/,,,,y,,,,,,,
novercaphobia,Fear of your stepmother,n.,noh-VER-kuh-FOH-bee-uh,Formed from Latin/Greek roots,English,"psychology,humorous,phobia",https://www.fearof.net/fear-of-stepmothers-phobia-novercaphobia/,,,,y,,,,,,,
nudiustertian,Of the day before yesterday,adj.,noo-dee-us-TUR-shun,,Latin,"archaic,obscure",,,,,n,,,,,,,
nyctophile,A person who loves night; someone who finds comfort in darkness.,n.,NIK-toh-file,Formed from Greek roots,English,"psychology,obscure",https://en.wiktionary.org/wiki/nyctophile,,,,n,,,,,,,
nyctophobia,Fear of the dark,n.,nik-tuh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/?s=nyctophobia,,,,n,,,,,,,
obdurate,Stubbornly refusing change,adj.,OB-doo-rit,Adopted from Latin,English,trait,,,,,n,,,,,,,
obfuscate,To deliberately confuse,v.,OB-fuh-skayt,Adopted from Latin,English,"academia,trait",,,,,y,,,,,,,
obstreperous,Noisy and difficult to control,established; habitual,ob-STREP-er-us,Adopted from Latin,English,trait,,,,,n,,,,,,,
omnia causa fliunt,Everything happens for a reason.,phr.,OHM-nee-uh KOW-suh FEE-yunt,,Latin,"philosophical,existential",https://en.wiktionary.org/wiki/omnia_causa_fiunt,,,,n,,,,,,,
oneirataxia,The inability to distinguish between fantasy and reality,n.,oh-neer-uh-TAK-see-uh,Modern coinage from Greek roots,English,"psychology,neologism,obscure",https://en.wiktionary.org/wiki/oneirataxia,,,,n,,,,,,,
onerous,Burdensome; oppressive,adj.,AH-nuh-rus,Adopted from Latin,English,trait,,,,,n,,,,,,,
ostentatious,Characterized by vulgar or pretentious display.,adj.,os-ten-TAY-shuhs,Adopted from Latin,English,trait,https://www.merriam-webster.com/dictionary/ostentatious,,,,n,,,,,,,
overmorrow,The day after tomorrow,n.,OH-ver-MOR-oh,Native English / Old English,English,"archaic,poetic",,,,,y,,,,,,,
pax,Peace,n.,PAKS,,Latin,"philosophical,poetic",,,,,n,,,,,,,
pedantic,Overly concerned with minor details,adj.,pih-DAN-tik,Adopted from French / Italian,English,"academia,trait",,,,,n,,,,,,,
pensive,Deeply thoughtful,adj.,PEN-siv,Adopted from Old French / Latin,English,"philosophical,emotion",,,,,n,,,,,,,
peregrinate,Travel or wander,v.,PAIR-uh-gruh-nayt,Adopted from Latin,English,"poetic,obscure",,,,,n,,,,,,,
philophobia,The fear of falling or being in love,n.,fil-uh-FOH-bee-uh,Formed from Greek roots,English,"psychology,romantic,phobia",https://www.fearof.net/?s=philophobia,,,,n,,,,,,,
phlegmatic,Calm and unemotional,adj.,fleg-MAT-ik,Adopted from Greek,English,"emotion,trait",,,,,y,,,,,,,
piffle,Trivial nonsense,n.,PIF-l,Origin uncertain; English slang,English,"humorous,slang",,,,,n,,,,,,,
pistanthrophobia,Fear of trusting people due to past experiences with relationships gone bad,n.,pih-stuhn-THROH-puh-bee-uh,Formed from Greek roots,English,"psychology,romantic,phobia",https://en.wiktionary.org/wiki/pistanthrophobia,,,,n,,,,,,,
poppycock,Ridiculous or untrue ideas,n.,POP-ee-kok,Adopted from Dutch,English,"humorous,slang",https://en.wiktionary.org/wiki/poppycock,https://api.datamuse.com/words?sp=poppycock&md=dp&max=1,,,n,,,,,,,
prevaricate,Speak or act in an evasive way; to avoid giving a direct answer or telling the truth,v.,pri-VAIR-ih-kayt,Adopted from Latin,English,trait,https://www.merriam-webster.com/dictionary/prevaricate,,,,n,,,,,,,
psychodysleptic,That which brings on a dreamlike mental state; hallucinogenic,adj.,sy-koh-dis-LEP-tik,Formed from Greek roots,English,"psychology,obscure",https://en.wiktionary.org/wiki/psychodysleptic,,,,n,,,,,,,
psychosomatic,Of or relating to a physical disorder that is caused by or notably influenced by emotional factors.,adj.,sy-koh-suh-MAT-ik,Formed from Greek roots,English,psychology,https://www.merriam-webster.com/dictionary/psychosomatic,,,,n,,,,,,,
pugnacious,"Eager or quick to argue, quarrel, or fight",adj.,puhg-NAY-shuhs,Adopted from Latin,English,trait,https://www.merriam-webster.com/dictionary/pugnacious,,,,n,,,,,,,
querulous,Habitually complaining,adj.,KWAIR-yuh-luhs,Adopted from Latin,English,trait,https://en.wiktionary.org/wiki/querulous,https://api.datamuse.com/words?sp=querulous&md=dp&max=1,,,y,,,,,,,
queserasera,"Whatever will be, will be.",phr.,kay suh-RAH suh-RAH,,Portuguese,"philosophical,existential","https://en.wiktionary.org/wiki/que_sera,_sera",,,,n,,,,,,,
quiddling,Busying oneself with trifles.,v.,KWID-ling,Origin uncertain; English,English,"humorous,obscure",https://www.dictionary.com/browse/quiddling,,,,n,,,,,,,
quixotic,"Extravagantly chivalrous or romantic; visionary, impractical, or impracticable; impulsive and often rashly unpredictable",adj.,kwik-SOT-ik,Adopted from Spanish name,English,"romantic,obscure",https://www.merriam-webster.com/dictionary/quixotic,,,,n,,,,,,,
ragamuffin,A scruffy person,n.,RAG-uh-muf-in,Origin uncertain; English,English,"humorous,slang",,,,,y,,,,,,,
rantipole,"A wild, reckless young person",n.,RAN-tih-pohl,Origin uncertain; English dialect,English,obscure,https://www.merriam-webster.com/dictionary/rantipole,,,,n,,,,,,,
recalcitrant,Having an obstinately uncooperative attitude toward authority or discipline.,adj.,rih-KAL-sih-truhnt,Adopted from Latin,English,trait,https://www.merriam-webster.com/dictionary/recalcitrant,,,,n,,,,,,,
reticent,Disposed to be silent or not to speak freely; reluctant or restrained,adj.,RET-ih-suhnt,Adopted from Latin,English,trait,https://www.merriam-wehttps://www.merriam-webster.com/dictionary/reveriebster.com/dictionary/reticent,,,,n,,,,,,,
reverie,A state of dreamy meditation or a fanciful musing; a daydream,n.,REV-uh-ree,Adopted from French,English,"psychology,poetic",https://www.merriam-webster.com/dictionary/reverie,,,,n,,,,,,,
sagacious,Wise and insightful,adj.,suh-GAY-shuhs,Adopted from Latin,English,"academia,trait",,,,,n,,,,,,,
sanguine,"Optimistic or positive, especially in an apparently bad or difficult situation.",adj.,SANG-gwin,Adopted from Latin,English,"emotion,trait",https://www.merriam-webster.com/dictionary/sanguine,,,,n,,,,,,,
sapiosexual,One who is attracted to or aroused by intelligence in others,n.,say-pee-oh-SEK-shoo-uhl,Formed from Latin roots,English,psychology,https://en.wiktionary.org/wiki/sapiosexual,,,,n,,,,,,,
sciamachy,A battle against imaginary enemies; fighting your shadow,n.,skee-AH-muh-kee,Formed from Greek roots,English,"psychology,obscure",https://www.merriam-webster.com/dictionary/sciamachy,,,,n,,,,,,,
scrofulous,Morally tainted,adj.,SKROF-yuh-luhs,Adopted from Latin,English,obscure,https://www.merriam-webster.com/dictionary/scrofulous,,,,n,,,,,,,
sedulous,Diligent in application or attention; persevering; assiduous.,adj.,SEJ-uh-luhs,Adopted from Latin,English,trait,https://www.dictionary.com/browse/sedulous,,,,n,,,,,,,
selcouth,"Unfamiliar, rare, strange, and yet marvelous",adj.,SEL-kooth,Native English / Old English,English,obscure,https://www.dictionary.com/browse/selcouth,,,,n,,,,,,,
sempiternal,Everlasting or eternal,adj.,sem-pih-TUR-nuhl,Adopted from Latin,English,"philosophical,existential",https://en.wiktionary.org/wiki/sempiternal,https://api.datamuse.com/words?sp=sempiternal&md=dp&max=1,,,n,,,,,,,
serendipity,A happy and unexpected discovery,n.,sair-uhn-DIP-ih-tee,Adopted from Persian place name via English,English,"poetic,emotion",https://en.wiktionary.org/wiki/serendipity,https://api.datamuse.com/words?sp=serendipity&md=dp&max=1,,,n,,,,,,,
shlimazl,Someone who is always unlucky,n.,shli-MAH-zuhl,,Yiddish,"slang,trait",https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.dictionary.com/browse/shlimazl&ved=2ahUKEwim98jCtbuNAxVUMNAFHW9aFgcQFnoECDIQAQ&usg=AOvVaw0QlIBJ8JZPFM1IJ_XBfYR3,,,,y,,,,,,,
sirenize,"To enchant, bewitch, or lure as a siren would.",v.,SY-ruh-nyze,Formed from Greek/Latin mythic root,English,"poetic,obscure",https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.collinsdictionary.com/us/dictionary/english/sirenize&ved=2ahUKEwjVgseDtruNAxWKMdAFHbtcNoQQFnoECDIQAQ&usg=AOvVaw18vGmLKe94Smm-po9g4_Cv,,,,y,,,,,,,
skedaddle,To run away quickly,v.,skih-DAD-ul,Origin uncertain; American English,English,"humorous,slang",,,,,n,,,,,,,
skullduggery,Dishonest behavior,n.,skull-DUG-uh-ree,Origin uncertain; Scots/English,English,"humorous,slang,trait",,,,,n,,,,,,,
snollygoster,A clever but dishonest person,n.,SNAH-lee-gos-ter,Origin uncertain; American English,English,"humorous,slang,trait",,,,,n,,,,,,,
sobersides,A humorless or habitually serious person.,n.,SOH-ber-sydz,Formed in English,English,"humorous,obscure",https://www.dictionary.com/browse/sobersides,,,,n,,,,,,,
solivagant,A solitary wanderer.,n.,soh-LIV-uh-guhnt,Formed from Latin roots,English,"poetic,obscure",https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.merriam-webster.com/dictionary/solivagant&ved=2ahUKEwiTj5CitruNAxXiMNAFHfQfFOkQFnoECCAQAQ&usg=AOvVaw0qvWyXi33Rseda9cyZFQtN,,,,n,,,,,,,
spavined,Old and decrepit; over-the-hill.,adj.,SPAV-ind,Adopted from Old French,English,obscure,https://www.merriam-webster.com/dictionary/spavined,,,,n,,,,,,,
spheksophobia,Fear of wasps,n.,sfek-soh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/?s=spheksophobia,,,,n,,,,,,,
stravage,To wander aimlessly,v.,struh-VAYG,,Irish,obscure,https://www.dictionary.com/browse/stravage,,,,n,,,,,,,
suasion,The act of gently persuading or influencing someone.,n.,SWAY-zhuhn,Adopted from Latin,English,psychology,https://www.dictionary.com/browse/suasion,,,,n,,,,,,,
subservient,Willing to do what other people want,adj.,suhb-SUR-vee-uhnt,Adopted from Latin,English,trait,https://www.dictionary.com/browse/subservient,,,,n,,,,,,,
Supercilious,Behaving as if superior,adj.,soo-per-SIL-ee-uhs,Adopted from Latin,English,trait,,,,,n,,,,,,,
sycophantic,Excessively flattering,adj.,sik-uh-FAN-tik,Adopted from Greek,English,trait,,,,,n,,,,,,,
taciturn,Silent; not talkative,adj.,TAS-ih-turn,Adopted from Latin,English,trait,https://www.dictionary.com/browse/taciturn,,,,n,,,,,,,
terse,Sparing in the use of words; abrupt.,adj.,TURS,Adopted from Latin,English,trait,https://www.merriam-webster.com/dictionary/terse,,,,n,,,,,,,
thantophobia,The phobia of losing someone you love,n.,than-tuh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia,emotion",https://www.fearof.net/?s=thantophobia,,,,n,,,,,,,
tohu-bohu,Chaos; disorder; confusion.,n.,TOH-hoo BOH-hoo,Adopted from Hebrew,English,obscure,https://www.dictionary.com/browse/tohubohu?misspelling=tohu-bohu&noredirect=true,,,,n,,,,,,,
tomfoolery,Foolish behavior,n.,tom-FOO-luh-ree,Formed in English,English,"humorous,slang",,,,,y,,,,,,,
triskaidekaphobia,Fear of the number 13,n.,tris-ky-dek-uh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",,,,,n,,,,,,,
trypophobia,Fear of patterns of holes or bumps.,n.,try-puh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/?s=trypophobia,,,,n,,,,,,,
twitterpated,Love-struck; smitten,adj.,TWIT-er-pay-tid,Formed in American English,English,"romantic,humorous",https://www.dictionary.com/browse/twitterpated,,,,n,,,,,,,
ubiquitous,"Present, appearing, or found everywhere.",adj.,yoo-BIK-wih-tuhs,Adopted from Latin,English,academia,https://www.merriam-webster.com/dictionary/ubiquitous,,,,n,,,,,,,
ultracrepidarian,A person who gives opinions on subjects they know nothing about.,n.,ul-truh-krep-ih-DAIR-ee-uhn,Adopted from Latin,English,"obscure,trait",,,,,n,,,,,,,
umbrescence,The quality or state of being shady; shadiness.,n.,um-BRES-uhns,Formed from Latin roots,English,"poetic,obscure",https://www.dictionary.com/browse/umbrescence,,,,n,,,,,,,
